id,spa,mslg_real,mslg_pred,raw_response
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO DULCES NO-HAY,"MSLG: ""FRASCO DULCES NO-HAY""
"
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,YO IR COMPRAR JABÓN TIENDA,"YO IR COMPRAR JABÓN TIENDA.
"
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COCA COLA COMPRAR,AYER YO COCA COLA COMPRAR.
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO TIJUANA FRONTERA VIVIR,MI TÍO TIJUANA FRONTERA VIVIR.
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO PARECER VULGAR,ESO FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA JUDICIAL NOS PROTEGER ÉL,POLICÍA JUDICIAL NOS PROTEGER ÉL.
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO MUY BONITO SÍ YO GUSTAR,"ESO MUY BONITO SÍ YO GUSTAR.
"
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,AL-GUNAS PERSONAS SER ANALFABETAS,"AL-GUNAS PERSONAS SER ANALFABETAS.
"
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA SUYO ÁFRICA,GHANA SUYO ÁFRICA
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANA DOS CUADRAS ESTAR,TIENDA CERCANA DOS CUADRAS ESTAR
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,ADÁN PRIMER PERSONA DIOS CREAR MUNDO,ADÁN PRIMER PERSONA DIOS CREAR MUNDO
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,FRANCIA VIAJE MÍ EMOCIONAR ÉL,FRANCIA VIAJE MÍ EMOCIONAR ÉL
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA-DE-MÉXICO MUCHO GRANDE,BIBLIOTECA-DE-MÉXICO MUCHO GRANDE
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,AHIJADO JUGUETE YO REGALARLE,"MSLG: ""AHIJADO JUGUETE YO REGALARLE"""
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,SEP CALENDARIO AGOSTO TERMINAR,#:SEP CALENDARIO AGOSTO TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR.
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,DM-AIMÉ PARACAÍDAS EN SALTAR,dm-AIMÉ PARACAÍDAS EN SALTAR.
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,ES FÁCIL APRENDER LETRAS ABECEDARIO,ES FÁCIL APRENDER LETRAS ABECEDARIO.
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,NUESTRA CITA TAXQUEÑA SER,NUESTRA CITA TAXQUEÑA SER.
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,MUCHO POLVO YO ESTORNUDAR MUCHO,MUCHO POLVO YO ESTORNUDAR MUCHO.
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAZ HACER DE PAPEL,DISFRAZ HACER DE PAPEL
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO REVISAR SUYA AGENDA DIARIO,MI HERMANO REVISAR SUYA AGENDA DIARIO
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI FAMILIA Y YO CELAYA IR YA,MI FAMILIA Y YO CELAYA IR YA.
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,YO NO GUSTAR AMETRALLADORA,YO NO GUSTAR AMETRALLADORA
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,TÚ ENVIAR MÍ MENSAJE WHATSAPP NOCHE,TÚ ENVIAR MÍ MENSAJE WHATSAPP NOCHE.
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,YO BOLICHE JUGAR GUSTAR SÍ,YO BOLICHE JUGAR GUSTAR SÍ.
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,DM-JUAN-GABRIEL NACER CIUDAD-JUÁREZ,dm-JUAN-GABRIEL NACER CIUDAD-JUÁREZ.
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,YO AZOTEA CASA LIMPIAR,YO AZOTEA CASA LIMPIAR.
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER GALERÍA YO IR,AYER GALERÍA YO IR
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,SIEMPRE MI FAMILIA DONAR TELETÓN,"MSLG: ""SIEMPRE MI FAMILIA DONAR TELETÓN"""
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,PAPEL YO NECESITAR PARA AGUA ABSORBER,PAPEL YO NECESITAR PARA AGUA ABSORBER.
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,MI VECINO DIARIO IR ALCOHÓLICOS ANÓNIMOS,MI VECINO DIARIO IR ALCOHÓLICOS ANÓNIMOS
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,MI HERMANO TERMINAR SU NOVIO+MUJER,MI HERMANO TERMINAR SU NOVIO+MUJER
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE MUY ESTAR,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE MUY ESTAR.
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR,YO GUSTAR FRESA CON CREMA,YO GUSTAR FRESA CON CREMA.
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO-PASADO GUANAJUATO YO VIAJAR,AÑO-PASADO GUANAJUATO YO VIAJAR.
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR,UNIVERSIDAD MI PRIMO YA INGRESAR,"MSLG: ""UNIVERSIDAD MI PRIMO YA INGRESAR""
"
782,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN,POLICÍA MANIFESTACIÓN HABER MUCHO,POLICÍA MANIFESTACIÓN HABER MUCHO
906,En el refrigerador hay comida caducada.,REFRIGERADOR HABER COMIDA CADUCADA,REFRIGERADOR COMIDA CADUCADA NO-HAY,REFRIGERADOR COMIDA CADUCADA NO-HAY
3,¿Y eso?,¿Y-ESO?,¿Y ESO?,¿Y ESO?
466,La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,INDIA SU SEPTIMO PAÍS GRANDE MUNDO,INDIA SU SEPTIMO PAÍS GRANDE MUNDO
597,El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,GOBERNADOR PUBLICIDAD COLOCAR MUCHO CALLE,GOBERNADOR PUBLICIDAD COLOCAR MUCHO CALLE
217,Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR,ODONTOLOGÍA YO PENSAR ESTUDIAR,"ODONTOLOGÍA YO PENSAR ESTUDIAR.
"
762,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO,ELLA TENER LUNAR BONITO,"ELLA TENER UN LUNAR BONITO.
"
666,Yo gané el campeonato.,YO YA GANAR CAMPEONATO,YO CAMPEONATO GANAR,YO CAMPEONATO GANAR.
392,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA,MI NOVIO ARGENTINA NACER,MI NOVIO ARGENTINA NACER
387,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?,CÓMO SEÑA APÓSTOLES TÚ HACER ÉL,CÓMO SEÑA APÓSTOLES TÚ HACER ÉL.
307,"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO,YO TRABAJO YA TENER YO CONTENTO,YO TRABAJO YA TENER YO CONTENTO.
502,Mi hijo reprobó el sexto de primaria.,SEXTO-Primaria MI HIJO YA REPROBAR,MI HIJO SEXTO PRIMARIA REPROBAR,MI HIJO SEXTO PRIMARIA REPROBAR
215,Al parecer va a llover en la tarde.,LLOVER TARDE PARECE,PARECER TARDAR LLUVIA IR,PARECER TARDAR LLUVIA IR
316,"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD,ÉL ARRESTAR ÉL ¿QUÉ FEEO?,"ÉL ARRESTAR ÉL, ¿QUÉ FEEO?"
372,Mi sobrino es muy alto.,MI SOBRINO ALTO,MI SOBRINO ALTO,MI SOBRINO ALTO
904,Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,PRÓXIMAS VACACIONES YO VIAJAR CIUDAD OBREGÓN,PRÓXIMAS VACACIONES YO VIAJAR CIUDAD OBREGÓN
378,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,IGLESIA AMÉN DECIR NOSOTROS,IGLESIA AMÉN DECIR NOSOTROS.
292,Anoche el metro era un caos.,AYER NOCHE METRO CAOS,ANCHE METRO CAOS SER,ANCHE METRO CAOS SER
605,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,SABRITAS FÁBRICA BUSCAR PERSONAL TRABAJAR,"MSLG: ""SABRITAS FÁBRICA BUSCAR PERSONAL TRABAJAR"""
206,Yo nado en la alberca.,ALBERCA YO NADAR,YO NADAR ALBERCA,YO NADAR ALBERCA.
37,El maestro se reunió aparte con sus alumnos.,MAESTRO ALUMNOS REUNIÓN APARTE,MAESTRO SEPARADO ALUMNOS SUS REUNIR ÉL,MAESTRO SEPARADO ALUMNOS SUS REUNIR ÉL.
125,Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA,YO MI AMIGO+MUJER IR FIESTA CONVENCER,YO MI AMIGO+MUJER IR FIESTA CONVENCER
417,Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR,PUERTA MI COLOR AZUL YO PINTAR,"PUERTA MI COLOR AZUL YO PINTAR.
"
406,Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO
785,"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,DIARIO MI AUTO YO MANEJAR GASOLINA YO DEBER PONERLE,"DIARIO MI AUTO YO MANEJAR, GASOLINA YO DEBER PONERLE."
823,¡El café está muy caliente!,¡CAFÉ CALIENTE!,CAFÉ TENER MUCHO CALIENTE,CAFÉ TENER MUCHO CALIENTE
536,"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR
346,Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR,YO HIJO MÍ ABANDONAR,"YO HIJO MÍ ABANDONAR.
"
801,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,ÉL DESEAR CONQUISTAR CANTA+MUJER PERO TÍMIDO ÉL IMAGINAR ÉL ABANDONAR ÉL,ÉL DESEAR CONQUISTAR UNA CANTA+MUJER PERO TÍMIDO ÉL IMAGINAR ÉL ABANDONAR ÉL.
638,Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO,TEPITO LUGAR MUCHO CONOCIDO,TEPITO LUGAR MUCHO CONOCIDO
844,Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO,NOSOTROS-DE-DOS VERNOS METRO CHABACANO DIEZ MAÑANA,NOSOTROS-DE-DOS VERNOS METRO CHABACANO DIEZ MAÑANA
463,Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ,HOY MI CUMPLEAÑOS SER,HOY MI CUMPLEAÑOS SER
