source,target
Mi primo se peleó conmigo ayer.,AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR
Mi suegro es muy trabajador.,MI SUEGRO TRABAJO TRABAJO
Olvidé mi contraseña.,YO OLVIDAR CONTRASEÑA
Sólo las mujeres tienen clítoris.,ÚNICO MUJER TENER SU CLITORIS
"En Canadá están las Cataratas del Niágara, que son hermosas.",CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA
Hoy conocí al nuevo sacerdote.,HOY NUEVO SACERDOTE YO YA CONOCER ÉL
Ese elefante orejón es muy chistoso.,ESE ELEFANTE OREJÓN CHISTOSO
Alondra le prometió a su mamá ser médico.,dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO
Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA
Necesito un cuaderno.,CUADERNO YO NECESITAR
Mi papá nos abandonó en México.,YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ
Dale el chupón al bebé.,CHUPÓN DEBE DAR BEBÉ
Mi hermanito tiene los dientes chuecos.,MI HERMANO TENER DIENTE DIENTE CHUECO
Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR
Es hora de mecer al niño Dios.,AHORITA NIÑO DIOS YA MECER
Remar es un ejercicio que ayuda a la salud.,EJERCER-REMAR AYUDA CUERPO SANO
Tú tienes unos hermosos ojos color café.,TUS OJOS HERMOSOS COLOR CAFÉ
Anoche el metro era un caos.,AYER NOCHE METRO CAOS
La hija de mi vecina tiene autismo.,MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO
Lleva los costales en la carretilla.,CARRETILLA-DE-CARGA COSTALES LLEVAR
Al parecer va a llover en la tarde.,LLOVER TARDE PARECE
¿Puedes contestar mi pregunta?,¿TÚ CONTESTAR MI PREGUNTA PODER?
El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR
¿Ya cenaste?,¿TÚ YA CENAR?
La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA
Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR
En la playa encontré muchos cocos.,PLAYA MUCHOS COCOS YO ENCONTRAR YA
Nosotros viajaremos el próximo año al Lago de Pátzcuaro.,PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR
Yo no tengo la culpa.,YO TENER-CULPA
No te he visto desde la última navidad.,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO
Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO
Las vacunas te protegen de las enfermedades.,VACUNAS PROTEGER ENFERMEDAD
Las barreras de comunicación pueden eliminarse.,BARRERAS COMUNICACIÓN QUITAR PODER
Edgar es maestro.,dm-EDGAR MAESTRO
Sofía se aprovechó del apoyo de sus papás.,dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO
Japón es una isla bonita.,JAPÓN ESE ISLA BONITO
"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR
Mi tío vive en Guatemala.,MI TÍO GUATEMALA VIVIR
"¡Rompí el jarrón, perdón, fue un accidente!","¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!"
El niño siempre tiene sueño.,SIEMPRE NIÑO SUEÑO
El bloqueador me protege del sol.,BLOQUEAR PROTEGER SOL
Las playas de Baja California Sur son muy limpias.,BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO
Mi abuelo ayuda a la colecta navideña.,ADORNAR NAVIDAD MI ABUELO AYUDAR
Aumentó el sueldo en un 12%.,12% SUELDO YA AUMENTAR
"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA
El windsurf necesita del aire para deslizarse.,WINDSURF NECESITAR VIENTO MAR
Debes esforzarte mucho para alcanzar tu meta.,MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR
Me gustan las galletas Gamesa.,YO GUSTAR GALLETA DIFERENTE GAMESA
Taiwán es una isla.,TAIWÁN ISLA
Tu control de videojuego se descompuso la semana pasada.,SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE
Quiero una mesa nueva.,MESA NUEVA YO QUERER
Yo nací por cesárea.,CESÁREA YO NACER YA
MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR
Las mujeres tienen vágina.,MUJER TENER VÁGINA
Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA
Perdí mi nuevo CD.,NUEVO CD YO YA PERDER
Tengo otro libro.,OTRO LIBRO YO TENER
"Por favor, apaga la luz.",APAGAR LUZ POR-FAVOR
Quiero ir a estudiar el próximo año la universidad en San Diego.,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO
Vamos a correr ponte la sudadera.,PONTE-SUDADERA NOSOTROS IR CORRER
No traigo efectivo.,EFECTIVO NINGÚN YO TRAER
Ana abandonó a su perro.,dm-ANA SUYO PERRO ABANDONAR YA
En Cancún hay un crucero.,CANCÚN HABER CRUCERO
Visité el mural de Diego Rivera.,YO YA VISITAR MURAL dm-DIEGO-RIVERA
El gobierno cuida a los ciudadanos.,GOBIERNO CUIDAR PERSONA
Vivir en Estados Unidos es difícil.,ESTADOS UNIDOS DIFÍCIL VIVIR
La casa de mi amigo está detrás de la mía.,CASA AMIGO DETRÁS MI CASA
Los alumnos cantan el himno nacional los lunes.,TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL
Con la lluvia el tubo se rompió.,LLUVIA TUBO ROMPER
Yo quiero menos comida.,COMIDA MENOS YO QUERER
"Compré una almohada nueva, ¡qué suerte!",NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!
Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD
Ayer perdí mi liga.,AYER YO PERDER MI LIGA
En China hay sobrepoblación.,CHINA HABER MUCHAS PERSONAS
Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR
La mesa de fierro está muy pesada.,MESA FIERRO PESADO
Es tu obligación pagar impuestos.,IMPUESTOS PAGAR TUYO OBLIGACIÓN
Quiero comprar una rasuradora.,RASURADORA YO QUERER COMPRAR
El capitán del barco es muy inteligente.,BARCO CAPITÁN él INTELIGENTE
No te juntes con personas enfermas te pueden contagiar.,ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER
Estudiamos para el examen.,NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR
La semana pasada pedí un aventón a la caseta.,SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA
El sapo se convirtió en príncipe.,SAPO YA CONVERTIR PERSONA PRÍNCIPE
Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR
Mi hijo reprobó el sexto de primaria.,SEXTO-Primaria MI HIJO YA REPROBAR
Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR
En la iglesia hay una campana muy grande.,IGLESIA CAMPANA GRANDE
¡El café está muy caliente!,¡CAFÉ CALIENTE!
Los Adventistas descansan los sábados y adoran a Dios.,ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR
Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR
En Nezahualcóyotl hay muchos cholos,NEZAHUALCÓYOTL MUCHO CHOLO
Rosalía trabaja en el archivo del hospital.,dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL
"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO
No hay nadie en mi casa los domingos.,DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE
Él está muy grave.,ÉL GRAVE
En Bélgica hay dos lenguas de señas: VGT y LSFB.,"#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA"
En Suiza se hablan diferentes idiomas.,SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR
Salvador entrena box diario en el parque.,DIARIO PARQUE dm-SALVADOR BOX EJERCER
"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR
"Ese profesor siempre está amargado, ¡qué feo!",ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!
Yo compro carne en el supermercado.,CARNE YO COMPRAR SUPERMERCADO
Acostumbro usar taxi siempre.,SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI
Ese libro me gusta.,ESE LIBRO YO GUSTAR
Ayer mi primo conquistó a mi amiga en el cine.,AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER
La medicina es una carrera que exige concentración.,CARRERA MEDICINA CONCENTRACIÓN A-FUERZA
Todas las enfermeras del hospital son muy amables.,HOSPITALacá TODA ENFERMERA AMABLE
Soy muy bueno para los clavados.,YO CLAVADO HÁBIL YO
Mi hermana está embarazada.,MI HERMANO+MUJER YA EMBARAZADA
Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER
El cumpleaños de mi tía es en abril y le haremos fiesta.,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA
Compré una almohada nueva para la cama.,YO YA COMPRAR NUEVA ALMOHADA PARA CAMA
El maltrato animal es un crimen.,MALTRATO ANIMAL CRIMEN
Luis fue de vacaciones a Panamá.,VACACIONES dm-LUIS IR PANAMÁ
Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR
Vivir en el desierto es difícil.,DESIERTO DIFÍCIL VIVIR
Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE
Mi generación se graduó el año pasado.,AÑO-PASADO MI GENERACIÓN GRADUAR
Voy al baño.,YO IR BAÑO
Él es mi ex novio.,ÉL MI EX NOVIO
Mi amigo me besó en el cine.,CINE MI AMIGO ÉL BESAR MÍ YA
¿Cuál es el número de tu grupo?,¿TÚ GRUPO NÚMERO CUÁL?
Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO
Tokio se ubica en Asia.,LUGAR TOKIO SU ASIA
No hay dulces en el frasco.,FRASCO DULCES NO-HAY
"En el table dance, las mujeres bailan sobre la mesa",TABLE-DANCE MUJER DIFERENTE BAILA MESA
Puedes llevar una maleta.,MALETA TÚ PODER LLEVAR
Los niños tienen piojos.,NIÑO NIÑO TENER PIOJO
A la comida le faltó un poco de sal.,COMIDA FALTA SAL POQUITO
Compraré ropa nueva. Yo estoy a la moda.,ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA
Mi carro usa cuatro cilindros.,CUATRO CILINDRO MI CARRO USAR
El egipcio no respondió.,HOMBRE EGIPCIO NO RESPONDER
Hoy no comí arroz.,HOY YO ARROZ COMER
Mi hermano es activo.,MI HERMANO ACTIVO
Mi tía cocina delicioso.,MI TÍO+MUJER DELICIOSO COCINAR
Mañana será el Baby Shower de Luz.,dm-LUZ BABY-SHOWER MAÑANA
El amigo de Juana es árabe.,dm-JUANA SU AMIGO ÁRABE
Mi tío tiene una casa en Cuernavaca.,MI TÍO TENER CASA CUERNAVACA
Tengo muchos amigos en la escuela.,YO TENER ESCUELA MUCHO AMIGO AMIGO
Ayer fui a pasear y me senti muy bien,AYER YO PASEAR SENTIR BIEN
Mi mamá me compró un calzón.,MÍ MAMÁ COMPRAR CALZÓN
"No puedo decirlo, debo aguantarme.",YO DECIR NO-PODER YO DEBER AGUANTAR
Ayer mi hermano lavó su ropa sucia.,AYER SU ROPA SUCIA MI HERMANO LAVAR
Mi jefe me pagó la mitad del sueldo.,MI JEFE ÉL PAGAR MÍ SUELDO MITAD
Adoro a Jehová.,JEHOVÁ YO ADORAR
Yo no fui quien descompuso la computadora.,YO NO-FUI COMPUTADORA NO-SIRVE
"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR
"Yo tuve suerte, lo pude lograr.",YO SUERTE LOGRAR YO PODER
Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ
El trombón tiene un sonido muy grave.,TROMBÓN SONIDO GRAVE TENER
La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE
En la madrugada escuché una explosión.,MADRUGADA EXPLOSIÓN YO ESCUCHAR
"Yo comí pulpo, es delicioso.",PULPO YO YA COMER DELICOSO
Yo sé leer en idioma inglés.,YO YA SABER LEER INGLÉS IDIOMA
Eres un huraño con todos.,TÚ HURAÑO TÚ
"No siempre voy a casa, sólo a veces.",A-VECES YO IR CASA SIEMPRE NO
Estuviste a salvo de caer en la coladera.,COLADERA TÚ A-SALVO CAER
El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR
Debes cambiar la llanta del coche.,LLANTA COCHE TÚ DEBER CAMBIAR
Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA
Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO
En la mochila roja hay dos pañales.,MOCHILA ROJA HABER DOS PAÑAL
Mi abuela tiene 90 años.,MÍ ABUELO+MUJER 90 EDAD
Mi auto no tiene cinturón de seguridad.,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY
Ese muchacho es muy buen corredor.,ESE HOMBRE JOVEN BUEN CORREDOR
Los colores de la bandera de Irán son verde blanco y rojo.,IRÁN BANDERA COLOR VERDE BLANCO ROJO
En la TV hay mucha publicidad.,#TV PUBLICIDAD HABER MUCHO
"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR
Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS
Edgar será maestro.,dm-EDGAR FUTURO MAESTRO
El policía cedió el paso a la ambulancia.,POLICÍA AMBULANCIA PASO ÉL CEDER
Yo quiero aprender muchas cosas.,YO QUERER APRENDER MUCHO COSA
Perdí el suéter blanco.,SUÉTER BLANCO YO PERDER
No termino mi tarea todavía.,TODAVÍA MI TAREA YO NO TERMINAR
Guerrero es un estado bonito.,GUERRERO ESTADO BONITO
Ellos admiran a la cantante Madonna.,CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA
Él ya abusó mucho de mí.,YA MUCHO ÉL ABUSAR YO
Ahora tú limpia tu recámara.,AHORA TÚ RECÁMARA TÚ LIMPIAR
"Eso no cuesta nada, es gratis.",DINERO NADA ESO GRATIS
Mi amiga y su novio van los sábados al casino.,TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR
Vamos al parque de Azcapotzalco.,PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR
Yo vivo en la Delegación Álvaro Obregón.,ÁLVARO OBREGÓN YO VIVIR
Berlín es la capital de Alemania.,BERLÍN CAPITAL SU ALEMANIA
La Universidad Gallaudet es muy famosa.,UNIVERSIDAD GALLAUDET FAMOSA
¿Por qué llegaste tarde?,TARDE ¿POR QUÉ?
El Congreso aprobó la nueva ley.,CONGRESO NUEVA LEY APROBAR YA
"Tú ya debes ser responsable, ya eres un adulto.",TÚ YA DEBER RESPONSABLE TÚ YA ADULTO
Ese carro nuevo es muy lujoso.,ESE CARRO NUEVO LUJOSO
Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN
Mi hermana se casa el próximo domingo.,PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR
Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN
No debes ser malo.,TÚ MALO NO DEBER
Los zapatos del payaso son amarillos.,PAYASO ZAPATO SUYO COLOR AMARILLO
Ojalá tengas éxito.,OJALÁ TÚ ÉXITO
Hay hojas blancas en el cajón.,CAJÓN HOJAS BLANCAS HAY
¿Dónde está tu local?,¿DÓNDE TUYO LOCAL?
Mi cronómetro se perdió.,MI CRONÓMETRO YA PERDER
El domingo me iré a confesar a la iglesia.,DOMINGO IGLESIA YO IR CONFESAR YO
Tomás fue un apóstol de Jesús.,dm-TOMÁS APÓSTOL JESÚS
"Con Juan, es un asunto aparte.",dm-JUAN ASUNTO APARTE
Arturo lee la biblia diariamente.,DIARIO BIBLIA dm-ARTURO LEER
"No te enojes, por favor.",TÚ ENOJAR NO POR-FAVOR
En la TV vi una noticia fea que pasó en Santiago de Chile.,#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE
El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO
Mi hermana practica snorkeling.,MI HERMANO+MUJER SNORKELING ELLA PRACTICAR
Ese hombre parece loco.,ESE HOMBRE LOCO PARECER
La sopa está caliente.,SOPA CALIENTE
¿Qué te pasó?,¿QUÉ-PASO?
El papa regañó a los obispos en México.,MÉXICO PAPA Él REGAÑAR OBISPO
"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR
Mi papá llena el formato para tramitar su licencia de manejo.,MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR
Maribel cursa el nivel avanzado en el diplomado.,dm-MARIBEL DIPLOMA NIVEL AVANZADO
Dicen que en Australia hay muchos canguros.,AUSTRALIA DECIR HABER MUCHO CANGURO
Adolfo López Mateos fue presidente de México.,ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO
"Ya dime la verdad, no eludas la pregunta.",YA TÚ DECIR MÍ NO ELUDIR PREGUNTA
Miguel tiene dolor en el pecho.,dm-MIGUEL PECHO ÉL DOLER
Mi abuela hace un chocolate muy rico.,MI ABUELO+MUJER HACER RICO CHOCOLATE
Brasilia es bonita.,BRASILIA BONITO
Juana sabe LSM.,dm-JUANA LSM ELLA SABER
La almohada es muy cómoda para dormir.,ALMOHADA CÓMODA ALMOHADA PARA DORMIR
Muchas personas creen en el Corán.,MUCHO PERSONA CORÁN ELLOS CREER
"Eso es muy suave, parece algodón.",ESE SUAVE PARECE ALGODÓN
Mi primo ganó medalla de oro en el maratón.,MARATÓN MI PRIMO MEDALLA ORO YA GANAR
"Te aviso, me las vas a pagar.",YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR
Él es un buen alumno.,ÉL BUENO ALUMNO Él
Necesito dinero para poder pagar la gasolina.,YO NECESITAR DINERO PAGAR GASOLINA
La caja pequeña es de color rojo.,CAJA PEQUEÑA SU COLOR ROJO
Le pusieron la corona de olivo.,CORONA-DE-OLIVO ELLOS PONER ÉL
La comida tiene mucha grasa.,COMIDA TENER MUCHO GRASA
Hay una tortuga en la playa.,PLAYA TORTUGA HABER
En la biblia está el nombre de Adán.,BIBLIA DENTRO ADÁN NOMBRE HABER
Yo pago con mi tarjeta de crédito.,MI TARJETA-DE-CRÉDITO YO PAGAR
¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?
Él abandonó a su hijo.,SU HIJO ÉL ABANDONAR
Siempre que rezo digo amén.,YO SIEMPRE ORAR YO DECIR AMÉN
Mi compañero de trabajo insiste en hacer una fiesta.,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA
Ella tiene una cara bonita.,ELLA CARA BONITA
Él siempre está muy distraído.,SIEMPRE ÉL DISTRAÍDO
Esta servilleta está sucia.,ESTA SERVILLETA SUCIA
Los animales son muy bonitos en verdad.,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD
La semana pasada fui a Plaza Universidad.,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD"
Bosnia y Herzegovina es un país muy lejano.,BOSNIA-HERZEGOVINA ESE PAÍS LEJOS
Hoy mi celular ya tiene saldo.,HOY MÍ CELULAR YO YA TENER SALDO
Ella tiene cabello lacio.,ELLA TENER CABELLO-LACÍO
El año pasado terminé la universidad.,AÑO-PASADO UNIVERSIDAD YO TERMINAR
Estonia tiene una frontera con Rusia.,ESTONIA FRONTERA RUSIA
En el mercado venden muchas escobas baratas.,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER
Pablo es flojo.,dm-PABLO FLOJO
La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ
Raúl entrena los sábados en CEPAMEX.,TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR
Él hace mucho ejercicio para fortalecerse.,ÉL EJERCER EJERCER FORTALECER
Mi mamá cocina en la olla express caldo de pollo sabroso.,MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO
La semana pasada compré cinta canela en el Centro.,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO
En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS
La Constitución tiene muchos artículos.,CONSTITUCIÓN TENER MUCHOS ARTÍCULOS
Hungría es un país que está muy lejos.,HUNGRÍA ESE PAÍS LEJOS
Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA
El escudo de la bandera de México es muy bonito.,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO
La próxima conferencia será en Monterrey.,PRÓXIMO CONFERENCIA LUGAR MONTERREY
María y Daniel van al teatro.,dm-MARÍA dm-DANIEL AMBOS IR TEATRO
Mi abuelo tiene un rifle viejo.,MI ABUELO TENER RIFLE VIEJO
Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO
Ayer no me dijiste adiós.,AYER ADIÓS TÚ DECIR NADA
El cuaderno es feo.,CUADERNO FEO
La ley prohíbe robar.,LEY ROBAR PROHIBIR
A Mariana le gusta bailar.,dm-MARIANA BAILAR ELLA GUSTAR
Antier fui a un concierto de Magneto en el Palacio de los Deportes.,ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR
El payaso usa mucho maquillaje.,PAYASO MUCHO MAQUILLAJE
Ayer mi mamá preparó atole.,AYER MAMÁ PREPARAR ATOLE
"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR
"Súbete a la montaña rusa, no seas cobarde.",MONTAÑA RUSA TÚ COBARDE NO
Estoy emocionado por ingresar a mi nuevo trabajo.,YO EMOCIONADO NUEVO INGRESAR TRABAJO
Miguel fue mi novio.,ANTES dm-MIGUEL NOVIO
Sara encontró muchas almejas en el mar.,dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR
"Mi perro es sumiso, no molesta.",MI PERRO SUMISO MOLESTAR
Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR
En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN
El perro tiene mucha sed.,PERRO MUCHO SED
Mi trabajo es muy cansado.,MI TRABAJO MUCHO CANSAR CANSAR
Tengo que acostumbrarme a despertarme a correr temprano.,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE
Caminemos hacia el sur para encontrar agua.,NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR
Nosotros abrimos el horno para meter los pasteles.,NOSOTROS ABRIR-HORNO PARA PASTEL
Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA
Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA
El policía persigue a un joven.,POLICÍA PERSEGUIR JOVEN
José aprende la lengua de Italia.,dm-JOSÉ APRENDER IDIOMA ITALIA
¡Del susto se me escapó el alma!,¡YO ASUSTAR ALMA DESAPARECER!
El sábado pasado hubo un grave accidente en la carretera.,PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE
Mete en la bolsa las cosas que compraste en la tienda.,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER
Él y yo ya nos separamos.,DOS-DE-NOSOTROS YA SEPARAR
En Cuba hace mucho calor,CUBA CALOR
"Esa piedra está muy bonita, brilla mucho.",ESA PIEDRA BONITA BRILLO MUCHO
No quiero nada.,NADA YO NO-QUERER NADA
"Miguel quiere declarse a su amiga, pero no se atreve.",dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE
En Chapultepec hay un lago.,CHAPULTEPEC HABER LAGO
El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO
Mi novio y yo vemos películas con subtítulos.,PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER
Nosotros nos encontraremos mañana al amanecer.,MAÑANA AMANECER NOSOTROS ENCONTRAR
Tira la basura.,TÚ BASURA TIRAR
Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR
"Si llego tarde al trabajo, me pueden despedir.",QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR
Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ
Mi amigo Julio tiene un acta de demanda.,MI AMIGO dm-JULIO TENER ACTA-DEMANDA
"Las lenguas más habladas son el chino, el inglés y el español.","LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA"
Los pavos son la comida básica en Navidad,PAVO COMIDA BASICA NAVIDAD
