id,mslg,spa_real,spa_pred,raw_response
404,TUYO SOBRINO ATRÁS MI ESPOSO,Tu sobrino está atrás de mi esposo.,Tu sobrino está detrás de mi esposo.,Tu sobrino está detrás de mi esposo.
863,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,Compraré la cena de Navidad en la Comercial Mexicana.,Yo compré cena navideña en una comercial mexicana.,Yo compré cena navideña en una comercial mexicana.
199,SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,"Me pasé un semáforo, ahora tengo que pagar una multa.","El semáforo está en rojo, pasé ahora y debo pagar una multa.","El semáforo está en rojo, pasé ahora y debo pagar una multa."
628,dm-ALICIA YA VIAJAR SUDÁFRICA,Alicia viajó a Sudáfrica.,Alicia ya viajó a Sudáfrica.,Alicia ya viajó a Sudáfrica.
878,CUBA CALOR,En Cuba hace mucho calor,Cuba tiene calor.,Cuba tiene calor.
298,ENTRAR ANIMAL NIÑO VER MONO,El niño ve un mono en el zoológico.,El niño ve un mono cuando entra el animal.,El niño ve un mono cuando entra el animal.
208,FRASCO DULCES NO-HAY,No hay dulces en el frasco.,No hay dulces en el frasco.,No hay dulces en el frasco.
470,YO IR TIENDA COMPRAR JABÓN YA,Fui a comprar jabón a la tienda.,Yo fui a la tienda a comprar jabón.,Yo fui a la tienda a comprar jabón.
859,AYER COCA-COLA YO COMPRAR,Yo compré una Coca Cola ayer.,Ayer compré Coca-Cola.,Ayer compré Coca-Cola.
570,FRONTERA TIJUANA MÍ TÍO VIVIR,"Mi tío vive en la frontera, en Tijuana.",Mi tío vive en la frontera de Tijuana.,Mi tío vive en la frontera de Tijuana.
800,ESO FEO PARECE VULGAR,"Eso es feo, parece vulgar.",Eso parece feo y vulgar.,Eso parece feo y vulgar.
783,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,La policia judicial nos protege.,El policía agente nos protege a mí.,El policía agente nos protege a mí.
281,ESO BONITO SÍ YO GUSTAR,"Eso es muy bonito, sí me gusta.",Eso sí me gusta.,Eso sí me gusta.
379,ALGUNAS PERSONAS ANALFABETO,Algunas personas son analfabetas.,Algunas personas son analfabetas.,Algunas personas son analfabetas.
703,ÁFRICA ADENTRO GHANA,Ghana está en África.,África adentro está Ghana.,África adentro está Ghana.
136,TIENDA CERCA DOS CUADRAS,La tienda más cercana está a dos cuadras.,La tienda está cerca de dos cuadras.,La tienda está cerca de dos cuadras.
358,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,Adán es el primer hombre creado por Dios en el mundo.,Adán fue el primer hombre que Dios hizo en el mundo.,Adán fue el primer hombre que Dios hizo en el mundo.
918,YO VIAJE FRANCIA YO EMOCIONAR YA,Mi viaje a Francia me emocionó.,Yo viajé a Francia y ya me emocioné.,Yo viajé a Francia y ya me emocioné.
138,MÉXICO BIBLIOTECA GRANDE,La Biblioteca de México es muy grande.,La biblioteca de México es grande.,La biblioteca de México es grande.
365,JUGUETE MI AHIJADO YO REGALAR ÉL YA,Le regalé un juguete a mi ahijado.,Yo ya le regalé un juguete a mi ahijado.,Yo ya le regalé un juguete a mi ahijado.
822,SU #SEP CALENDARIO AGOSTO TERMINAR,El calendario de la SEP termina en agosto.,Su calendario de la SEP termina en agosto.,Su calendario de la SEP termina en agosto.
624,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,El senador explica por qué la gasolina está cara.,El senador explica por qué aumentó la gasolina.,El senador explica por qué aumentó la gasolina.
326,dm-AIMÉ SALTAR PARACAIDAS,Aimé saltó en paracaídas.,Aimé salta en paracaídas.,Aimé salta en paracaídas.
472,FÁCIL APRENDER LETRA ABECEDARIO,Es fácil aprender las letras del abecedario.,Es fácil aprender el abecedario.,Es fácil aprender el abecedario.
761,NUESTRA CITA LUGAR TAXQUEÑA,Nuestra cita es en Taxqueña.,Nuestra cita es en Taxqueña.,Nuestra cita es en Taxqueña.
567,POLVO YO MUCHO ESTORNUDAR,"Con mucho polvo, yo estornudo mucho.",Yo estornudo mucho por el polvo.,Yo estornudo mucho por el polvo.
213,DISFRAZ HACER. PAPEL,El disfraz está hecho de papel,Hacer un disfraz de papel.,Hacer un disfraz de papel.
363,DIARIO MI HERMANO AGENDA REVISAR,Mi hermano revisa su agenda diario.,Mi hermano revisa su agenda diaria.,Mi hermano revisa su agenda diaria.
668,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI Mí familia y yo fuimos a Celaya.,Mi familia y yo ya fuimos a Celaya.,Mi familia y yo ya fuimos a Celaya.
652,AMETRALLADORA DIFERENTE YO NO-GUSTAR,A mí no me gustan las ametralladoras.,A mí no me gustan las ametalladoras diferentes.,A mí no me gustan las ametalladoras diferentes.
479,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,Me mandas un mensaje de whatsapp en la noche.,No me mandaste un mensaje de WhatsApp anoche.,No me mandaste un mensaje de WhatsApp anoche.
280,SÍ YO GUSTAR JUGAR BOLICHE,A mí sí me gusta jugar boliche.,"Sí, me gusta jugar boliché.","Sí, me gusta jugar boliché."
857,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,Juan Gabriel nació en Ciudad Juárez.,Juan Gabriel nació en Ciudad Juárez.,Juan Gabriel nació en Ciudad Juárez.
811,CASA AZOTEAarriba YO LIMPIAR YA,Yo limpié la azotea de la casa.,Ya limpié la casa desde arriba.,Ya limpié la casa desde arriba.
696,AYER YO YA IR GALERÍA,Ayer fui a la galería.,Ayer ya fui a la galería.,Ayer ya fui a la galería.
916,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,Mi familia siempre dona a Teletón.,Mi familia siempre dona a Teletón.,Mi familia siempre dona a Teletón.
239,YO NECESITAR PAPEL PARA AGUA ABSORBER,Necesito papel para absorber el agua.,Yo necesito papel para absorber agua.,Yo necesito papel para absorber agua.
369,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,Mi vecino va diario a Alcohólicos Anónimos.,Mi vecino va a Alcohólicos Anónimos a diario.,Mi vecino va a Alcohólicos Anónimos a diario.
507,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,Mi hermano terminó con su novia.,Mi hermana y su novio ya se separaron.,Mi hermana y su novio ya se separaron.
312,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,Compré este celular ayer pero está muy corriente.,Ayer compré este celular pero no tiene corriente.,Ayer compré este celular pero no tiene corriente.
133,FRESAS CON CREMA YO GUSTAR,Me gustan las fresas con crema.,Me gustan las fresas con crema.,Me gustan las fresas con crema.
719,AÑO-PASADO YO VIAJAR GUANAJUATO,El año pasado viajé a Guanajuato.,El año pasado viajé a Guanajuato.,El año pasado viajé a Guanajuato.
924,MI PRIMO UNIVERSIDAD YA INGRESAR,Mi primo ingresó a la universidad.,Mi primo ya ingresó a la universidad.,Mi primo ya ingresó a la universidad.
782,MUCHOS POLICÍA HABER MANIFESTACIÓN,Hay muchos policías en la manifestación.,Hay muchos policías en la manifestación.,Hay muchos policías en la manifestación.
906,REFRIGERADOR HABER COMIDA CADUCADA,En el refrigerador hay comida caducada.,En el refrigerador hay comida caducada.,En el refrigerador hay comida caducada.
3,¿Y-ESO?,¿Y eso?,¿Y eso?,¿Y eso?
466,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,La India es el séptimo país más grande del mundo.,India es el séptimo país más grande del mundo.,India es el séptimo país más grande del mundo.
597,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,El gobernador colocó mucha publicidad por las calles.,El gobernador colocó publicidad en las calles.,El gobernador colocó publicidad en las calles.
217,ODONTOLOGÍA YO PENSAR ESTUDIAR,Pienso estudiar odontología.,Yo pienso estudiar odontología.,Yo pienso estudiar odontología.
762,ELLA TENER LUNAR BONITO,Ella tiene una lunar bonito.,Ella tiene una luna bonita.,Ella tiene una luna bonita.
666,YO YA GANAR CAMPEONATO,Yo gané el campeonato.,Yo ya gané el campeonato.,Yo ya gané el campeonato.
392,MI NOVIO NACER LUGAR ARGENTINA,Mi novio nació en Argentina.,Mi novio nació en Argentina.,Mi novio nació en Argentina.
387,¿CÓMO SEÑA dm-APÓSTOLES?,¿Cómo haces la seña de apóstoles?,¿Cómo se llama dm-Apóstoles?,¿Cómo se llama dm-Apóstoles?
307,YO TENER TRABAJO YA CONTENTO YO,"Ya tengo trabajo, estoy contento.",Yo ya tengo trabajo y estoy contento.,Yo ya tengo trabajo y estoy contento.
502,SEXTO-Primaria MI HIJO YA REPROBAR,Mi hijo reprobó el sexto de primaria.,Mi hijo ya reprobó en sexto de primaria.,Mi hijo ya reprobó en sexto de primaria.
215,LLOVER TARDE PARECE,Al parecer va a llover en la tarde.,Parece que lloverá tarde.,Parece que lloverá tarde.
316,YA ÉL ARRESTADO ESO FEO VERDAD,"Él fue arrestado, qué feo.","Ya lo arrestaron, eso es feo.","Ya lo arrestaron, eso es feo."
372,MI SOBRINO ALTO,Mi sobrino es muy alto.,Mi sobrino es alto.,Mi sobrino es alto.
904,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,Las próximas vacaciones iré de viaje a Ciudad Obregón.,Próximamente en vacaciones viajaré a Ciudad Obregón.,Próximamente en vacaciones viajaré a Ciudad Obregón.
378,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,En la iglesia decimos amén.,Nosotros dos decimos amén en la iglesia.,Nosotros dos decimos amén en la iglesia.
292,AYER NOCHE METRO CAOS,Anoche el metro era un caos.,Ayer noche el metro estaba caótico.,Ayer noche el metro estaba caótico.
605,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,En la fábrica de Sabritas buscan personal para trabajar.,En el lugar de la fábrica de Sabritas hay trabajo para personas.,En el lugar de la fábrica de Sabritas hay trabajo para personas.
206,ALBERCA YO NADAR,Yo nado en la alberca.,Voy a nadar a la alberca.,Voy a nadar a la alberca.
37,MAESTRO ALUMNOS REUNIÓN APARTE,El maestro se reunió aparte con sus alumnos.,El maestro se reúne aparte con los alumnos.,El maestro se reúne aparte con los alumnos.
125,YO YA CONVENCER MI AMIGO IR FIESTA,Convencí a mi amigo de ir a la fiesta.,Yo ya convencí a mi amigo de ir a la fiesta.,Yo ya convencí a mi amigo de ir a la fiesta.
417,MI PUERTA COLOR AZUL YO YA PINTAR,Pinté mi puerta de color azul.,Yo ya pinté mi puerta de color azul.,Yo ya pinté mi puerta de color azul.
406,AUSTRÍA SU PAÍS HERMOSO,Austria es un país hermoso.,Austria es un país hermoso.,Austria es un país hermoso.
785,DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,"Diario manejo mi auto, debo ponerle gasolina.",Diariamente manejo el carro y debo poner gasolina.,Diariamente manejo el carro y debo poner gasolina.
823,¡CAFÉ CALIENTE!,¡El café está muy caliente!,¡Café caliente!,¡Café caliente!
536,AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,"En diciembre del año pasado, mi jefe viajó a Bogotá.",El año pasado en diciembre mi jefe viajó a Bogotá.,El año pasado en diciembre mi jefe viajó a Bogotá.
346,MI HIJO YO ABANDONAR,Yo abandoné a mi hijo.,Yo abandoné a mi hijo.,Yo abandoné a mi hijo.
801,ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.","Él desea conquistar a esa mujer, pero tiene miedo de que ella lo abandone.","Él desea conquistar a esa mujer, pero tiene miedo de que ella lo abandone."
638,TEPITO LUGAR FAMOSO,Tepito es un lugar muy conocido.,Tepito es un lugar famoso.,Tepito es un lugar famoso.
844,10 MAÑANA NOS-VEMOS METRO CHABACANO,Nos vemos en el metro chabacano a las 10 de la mañana,Mañana nos vemos en el metro de Chabacano.,Mañana nos vemos en el metro de Chabacano.
463,HOY CUMPLEAÑOS MÍ,Hoy es mi cumpleaños.,Hoy es mi cumpleaños.,Hoy es mi cumpleaños.
