source,target
mi amiga come pan dulce,amigo mujer mía pan dulce comer
tú bebes cerveza,tú cerveza beber
tu tío está masomenos,tío tuyo masomenos
ellas son distraídas,ellas distraídas así
nuestra amiga está confundida,amigo mujer nuestra confundida
mi tío quiere aprender lsm,tío mío lsm aprender querer
mi novia estaba ocupada ayer,ayer novio mujer mía ocupada
tu tío es artista,tío tuyo artista
tu papá es enojón,papá tuyo enojón así
tu sobrina irá al mercado,futuro sobrino mujer tuya mercado ir
casa,casa
mi hermana está distraída,hermano mujer mía distraída
mi papá está loco,papá mío loco
¿a dónde fue tu sobrino?,¿pasado sobrino mujer tuya ir dónde?
tu amigo es oyente,amigo tuyo oyente
a mi tía le gusta el chocolate,tío mujer mía chocolate gustar
tu papá estaba leyendo un periódico ayer,ayer papá tuyo periódico leer
siempre están contentos,siempre ellos contentos
la comida está servida,comida servida
ella quiere ir,ella ir querer
hay muchos gatos en la calle,calle ahí muchos gatos haber
tus amigos,primo mujer ellas mías
los niños son gordos,niño ellos gordo
tu novia está triste,novio mujer tuya triste
a mi hermano no le gusta el café,hermano mío café gustar no
mi prima es científica,primo mujer mía científica
su maestra,maestra suya
yo como pasta en el restaurante,restaurante ahí yo pasta comer
mi amiga es artista,amigo mujer mía artista
mi prima quiere aprender inglés,primo mujer mía inglés aprender querer
mi mamá trabaja de lunes a viernes,lunes a viernes mamá trabajar
ella quiere comer,ella comer querer
nosotros somos profesores,nosotros profesores
puedes hacerlo,tú hacer poder
la niña está triste,niño mujer triste
a mi tío le gusta el café,tío mío café gustar
hola,hola
tu abuela trabaja de lunes a viernes,lunes a viernes abuelo mujer tuya trabajar
mi perro come carne roja,perro mío carne roja comer
mi amigo no entiende la lsm,amigo mío lsm entender no
mi abuelo come una galleta en la cafetería,cafetería ahí abuelo mío una galleta comer
mi papá está masomenos,papá mío masomenos
estoy ocupada,yo ocupada
mi novio come pizza,novio mío pizza comer
tu amiga es tímida,amiga tuya tímida así
tu tío está mal,tío tuyo mal
mi tío es arquitecto,tío mío arquitecto
ellos son sordos,ellos sordos
mi mamá usa un vestido rojo,mamá mía vestido rojo usar
comemos frutas diario,diario yo frutas comer
mi hermano está apenado,hermano mío apenado
el agua es azul,agua azul
estoy loco,yo loco
quiere aprender japonés,él japonés aprender querer
no hay azúcar,azúcar haber no
mi amiga no entiende el español,amigo mujer mía español entender no
quieren trabajar,ellos (as)/ustedes trabajar querer
tu hermano es profesor,hermano tuyo profesor
¿dónde vive tu abuelo?,¿abuelo vivir dónde?
mi novio estudia en la biblioteca,biblioteca ahí novio mío estudiar
mi papá es amable,papá mío amable
él es miedoso,él miedoso así
"si, mi mamá es sorda","si, mamá mía sorda"
te desagrada sonreír,tú sonreír gustar no
a mi abuela no le gusta el café,abuelo mujer mía café gustar no
yo soy miedosa,yo miedosa así
ellas comen una manzana,ellas manzana comer
mi tío es artista,tío mío artista
quieres aprender lsm,tú lsm aprender querer
él juega futbol en la calle,calle ahí él futbol jugar
hay un libro en el estante,estante ahí un libro haber
ellos quieren descansar,ellos descansar querer
mi amiga no entiende el español,amigo mujer mía español entender no
tú quieres aprender lsm,tú lsm aprender querer
ella es agradable,ella agradable
hay seis peras en el plato,plato ahí peras seis haber
tu novia es distraída,novio mujer tuya distraída así
¿cuántos plátanos te comiste la semana pasada?,¿semana pasada tú platanos comer cuántos?
mi papá es artista,papá mío artista
muchos niños,niño muchos
mi primo es profesor,primo mío profesor
quiero café,yo café querer
tu primo es abogado,primo tuyo abogado
soy arquitecto,yo arquitecto
mi hermano quiere aprender inglés,hermano mío inglés aprender querer
ella quiere correr en la pista,pista ahí ella correr
el perro negro es mío,perro mío negro
la pelota de mi nieto,nieto mío pelota suya
leyó el periódico ayer,ayer él (ella) periódico leer
tú comes hamburguesa con papas,tú hamburguesa papas comer
a tu papá le gusta el chocolate,papá tuyo chocolate gustar
estudian en la biblioteca,biblioteca ahí ellos (ellas) (ustedes) estudiar
leyeron una revista ayer,ayer ellos (as) revista leer
mi abuela estaba leyendo una revista ayer,ayer abuelo mujer mío revista leer
las niñas fueron al museo,pasado niño mujer ellas museo ir
los árboles,arbol+arbol+arbol
ustedes son oyentes,ustedes oyentes
ustedes son miedosos,ustedes miedosos así
mi abuelo quiere correr en la pista,pista ahí abuelo correr
mi papá tiene un carro azul,papá mío carro azul tener
yo estoy contenta,yo contenta
mi amigo entiende,amigo mío entender
nosotros somos doctores,nosotros doctores
tu papá fue al supermercado,pasado papá tuyo supermercado ir
no puedo tomar leche,yo leche poder no tomar
tu amiga fue a la fiesta,pasado amiga tuya fiesta ir
la niña se peina,niño mujer ella peinar
el niño es tímido,niño tímido así
mi hermana es artista,hermano mujer mía artista
ella quiere un abrazo,ella abrazo querer
ustedes,ustedes
ellas son artistas,ellas artistas
tu hija,hijo mujer tuya
mi tío no entiende la ortografía,tío ortografía entender no
ella fue a la fiesta,pasado ella fiesta ir
muchas lámparas,lámpara muchas
quiero descansar,yo descansar querer
las niñas construyen una casa,niño mujer ellas casa construir
las sillas,silla+silla+silla
tu amiga,amigo mujer tuya
ellos están mal,ellos mal
somos distraídos,nosotros distraídos así
no quiero trabajar,yo trabajar no querer
nosotros somos artistas,nosotros artistas
mi novio no entiende el español,novio mío español entender no
beben leche,ellos (as)/ ustedes leche beber
tu hermana come pastel en la cafetería,cafetería ahí hermano mujer tuya pastel comer
se está haciendo muy tarde,tarde mucho
mi abuela es enojona,abuelo mujer mía enojona así
mi maestra,maestro mujer mía
tus amigos cuentan chistes graciosos,amigo ellos tuyos chistes graciosos contar
tu primo quiere aprender español,primo tuyo español aprender querer
mi abuelo irá al hospital,abuelo mío hospital ir
mi hermana está desesperada,hermano mujer mía desesperada
tu novia está bien,novio mujer tuya bien
mi novia está confundida,novio mujer mía confundida
lámpara,lámpara
su tía,tío mujer suyo
tu abuela es sorda,abuelo mujer tuya sorda
nuestra prima,primo mujer nuestra
pueden hacerlo,ustedes hacer poder
mi novio estaba leyendo un libro ayer,ayer novio mío libro leer
mi hermano come una baguette en la cafetería,cafetería ahí hermano mío baguette comer
tu abuela irá la iglesia,futuro abuelo mujer tuya iglesia ir
sobrina,sobrino mujer
estoy bien,bien
el niño está loco,niño loco
tu abuela vive en México,México abuelo mujer tuya vivir
su gato es blanco,gato suyo blanco
ayer vino TOM,ayer TOM venir
mi abuela está bien,abuelo mujer mía bien
tu hijo trabaja de lunes a viernes,lunes a viernes hijo tuyo trabajar
ellas están enojadas,ellas enojadas
¿dónde vive tu mamá?,¿mamá tuya vivir dónde?
tu abuelo está mal,abuelo tuyo mal
a mi mamá le gusta platicar,mamá mía platicar gustar
soy artista,yo artista
mi tía es tímida,tío mujer mía tímida así
"buenos días, ¿cómo estás?","buenos días, ¿cómo estar tú?"
tu prima es enojona,primo mujer tuya enojona así
por favor,por favor
ellas estudian en la biblioteca,biblioteca ahí ellas estudiar
los niños son jóvenes,niño ellos jovenes así
mi mamá es ingeniera,mamá mía ingeniera
¿tu novia es sorda?,¿novio mujer sorda?
está haciendo mucho calor,calor mucho
me agrada pasear,yo pasear gustar
¿que hiciste en la noche?,¿pasadonoche tú hacer qué?
les gusta caminar,ellos caminar gustar
nosotros bebemos refresco,nosotros refresco beber
¿estudiaste ayer?,¿ayer tú estudiar?
te agrada leer,tú leer gustar
tu amigo come un pastel en la cafetería,cafetería ahí amigo tuyo pastel  comer
los niños irán al museo el próximo viernes,próximo viernes niños ellos museo ir
las niñas están impacientes,niño mujer ellas impacientes
tu tía es abogada,tío mujer tuya abogada
¿qué harás el próximo domingo?,¿próximo domingo tú hacer qué?
mi novio entiende el español,novio mío español entender
mi amiga está enojada,amigo mujer enojada
nosotros somos tímidos,nosotros tímidos así
mi papá es científico,papá mío científico
los niños juegan futbol en la calle,calle ahí niño ellos futbol jugar
¿qué hiciste el miércoles?,¿pasado miércoles tú hacer qué?
hermano,hermano
te gusta pasear,tú pasear gustar
mi tío es científico,tío mío científico
las ventanas,ventana+ventana+ventana
mi amigo es distraído,amigo mío distraído así
nos agrada la música clásica,nosotros música clásica gustar
a mi hermano le gusta el chocolate,hermano mío chocolate gustar
tu amiga es miedosa,amigo mujer tuya miedosa así
él estudiará en la biblioteca mañana,mañana biblioteca ahí él estudiar
el siempre está feliz,siempre él feliz
muchos perros juegan en el parque,parque ahí muchos perros jugar
quieres descansar,tú descansar querer
hay nueve peras en el plato,plato ahí peras nueve haber
no hay muchos gatos en la calle,calle ahí muchos gatos haber no
tu abuelo está preocupado,abuelo tuyo preocupado
hace mucho frío hoy,hoy mucho frío
tu amigo,amigo tuyo
fueron,pasado ellos ser
mi abuela aprende lsm,abuela mujer mía lsm aprender
mi abuelo es enojón,abuelo mío enojón así
tu abuelo es desesperado,abuelo tuyo desesperado
tu novio quiere aprender inglés,novio tuyo inglés aprender querer
muchas casas,casa muchas
no quiere comprar un auto,él (ella) auto comprar no querer
tu abuela es distraída,abuelo tuyo mía distraída así
ocurrió ayer,ayer ocurrir
mi mamá quiere aprender alemán,mamá mía alemán aprender querer
entienden,ellos entender
mi novia está embarazada,novio mujer mía embarazada
mi tía vive en México,México tío mujer mía vivir
ellos están alegres,ellos alegres
tu amigo es científico,amigo tuyo científico
leíste una revista ayer,ayer tú revista leer
algunos esposos,esposo algunos
tu abuelo es sordo,abuelo tuyo sordo
mi hermana está embarazada,hermano mujer mía embarazada
perro,perro
tu novia está distraída,novio mujer tuya distraída
tu sobrina quiere aprender lsm,sobrino mujer tuya lsm aprender querer
no me gusta sonreír,yo sonreír gustar no
mi papá quiere aprender inglés,papá mío inglés aprender querer
leímos el periódico ayer,ayer nosotros periódico leer
hay dos libros en el estante,estante ahí libros dos haber
tu tía está distraída,tío mujer tuya distraída
el clima es frío,clima frío
estuve ocupada la semana pasada,semana pasada yo ocupada estar
ellas son alegres,ellas alegres así
mi abuelo,abuelo mío
mi novio irá a la biblioteca,futuro novio mío biblioteca ir
a tu hermano le gusta el chocolate,hermano tuyo chocolate gustar
"no, mi hija es oyente","no, hijo mujer mía oyente"
tu tía,tío mujer tuya
tu tío,tío tuyo
su abuelo,abuelo suyo
va,él ir
tu hermana es oyente,hermano mujer tuya oyente
te desagrada caminar,tú caminar gustar no
mi amiga es alegre,amigo mujer mía alegre así
su mamá es maestra,mamá suya maestra
ellos están locos,ellos están locos
muchas sillas,silla muchas
los niños están locos,niños ellos locos
tú juegas futbol en la calle,calle ahí tú futbol jugar
les gusta platicar,ellos platicar gustar
mi novio entiende la lsm,novio mío lsm entender
mi papá está desesperado,papá mío desesperado
quiero aprender inglés,yo inglés aprender querer
mi tía es artista,tío mujer mía artista
puedo hacerlo,yo hacer poder
mi mamá es distraída,mamá distraída así
mi novia irá al restaurante,futuro novio mujer mía restaurante ir
mi amiga está triste,amigo mujer mía triste
le gusta el chocolate,él chocolate gustar
mi abuela hace arroz en la cacerola,abuelo mujer mía cacerola arroz cocinar
tu abuelo está apenado,abuelo tuyo apenado
mi abuelo es viejo,abuelo mío viejo
el suéter es amarillo,suéter amarillo
pasó ayer,ayer pasar
nosotros leemos un libro,nosotros libro leer
mi sobrino quiere correr en la pista,pista ahí sobrino mío correr
tu amigo está mal,amigo tuyo mal
el edificio es alto,edificio alto
tu hermana come dulces,hermano mujer tuya dulces comer
ella se fue de viaje la semana pasada,semana pasada ella viajar
tu novia está mal,novio mujer tuya mal
estoy mal,mal
mi amiga es científica,amigo mujer mía científica
ayer hizo calor,ayer calor
ustedes son tranquilos,ustedes tranquilos
ustedes quieren un abrazo,ustedes abrazo querer
los niños están mal,niño ellos mal
los autos azules son lindos,auto+auto+auto lindos
no nos agrada reír,nosotros reír gustar no
soy,yo ser
tu novio es distraído,novio tuyo distraído así
muchos gatos juegan en el parque,parque ahí muchos gatos jugar
ellos,ellos
ella es abogada,ella abogada
el desayuno está caliente,desayuno caliente
mi hermano es distraído,hermano mío distraído así
su papá,papá suyo
nos gusta caminar,nosotros caminar gustar
el se fue a casa ayer,ayer casa ahí él ir
tu mamá es sorda,mamá tuya sorda
quiero a mi madre,yo madre mía querer
pocas mesas,mesa pocas
lee un libro,él (ella) libro leer
TOM vió a ANA ayer,"ayer ANA ella, TOM ver"
mi papá es tímido,papá mío tímido así
hermanos,hermano ellos
mi abuelo está mal,abuelo mío mal
hace calor,calor
el gato blanco parece tranquilo,gato blanco tranquilo
no me gusta el chocolate,yo chocolate gustar no
tu hermana quiere aprender inglés,hermano mujer tuya inglés aprender querer
tu abuelo está masomenos,abuelo tuyo masomenos
¿eres sorda?,¿tú sorda?
tu mamá quiere aprender inglés,mamá tuya inglés aprender querer
yo estoy bien,yo bien
nos desagrada la música clásica,nosotros música clásica gustar no
casas,casa+casa+casa
tu amiga es oyente,amigo mujer tuya oyente
nuestra amiga está bien,amigo mujer nuestra bien
su novio es guapo,novio suyo guapo
mi amiga no entiende,amigo mujer mía entender no
el murió ayer,ayer el morir
ustedes están locos,ustedes locos
tu sobrino quiere aprender lsm,sobrino tuyo lsm aprender querer
nos desagrada platicar,nosotros platicar gustar no
tu abuelo era soldado,abuelo tuyo soldado
hacer,hacer
las lavadoras,lavadora+lavadora+lavadora
estamos bien,nosotros bien
tu abuela es oyente,abuelo mujer tuya oyente
a mi hermano no le gusta el chocolate,hermano mío chocolate gustar no
tu abuela quiere aprender a dibujar,abuelo mujer tuya dibujar aprender querer
¿a dónde fue ayer?,¿ayer él ir dónde?
a mi hermana le gusta platicar,hermano mujer mío platicar gustar
queremos aprender lsm,nosotros lsm aprender querer
mi prima es arquitecta,primo mujer mía arquitecta
mi novio es desesperado,novio mío desesperado así
yo soy distraída,yo distraída así
los niños nadan,niños ellos nadar
mi amiga no entiende,amigo mujer mía entender no
ella está embarazada,ella embarazada
el gato café es tranquilo,gato café tranquilo
mis tíos,tío ellos míos
me gusta caminar,yo caminar gustar
tu prima es profesora,primo mujer tuya profesora
los niños estudian inglés todos los días,todos los días niño ellos inglés estudiar
¿qué hacen?,¿ellos (ellas) (ustedes) hacer qué?
mi hermano es alto,hermano alto
yo como pizza,yo pizza comer
mi amiga irá al supermercado,futuro amigo mujer mía supermercado ir
la comida está lista,comida lista
mi novio estaba leyendo un periódico ayer,ayer novio mío periódico leer
mi novia es sorda,novio mujer mía sorda
no me agrada pasear,yo pasear gustar no
mi prima quiere aprender lsm,primo mujer mía lsm aprender querer
¿dónde está el banco ?,¿banco dónde?
el agua está helada,agua helada
nuestra casa,casa nuestra
no quiere trabajar,él (ella) trabajar no querer
su abuela,abuelo mujer suya
no les gusta correr,el correr gustar no
¿lo deletreas más despacio por favor?,¿deletrear despacio por favor?
él se baña,él bañar
¿tu amiga es oyente?,¿amigo mujer tuya oyente?
mi amigo está loco,amigo mío loco
mi amigo es miedoso,amigo mío miedoso así
no quieren adoptar un perro,ellos perro adoptar no querer
lámparas,lámpara+lámpara+lámpara
mujer,mujer
ustedes estudian en la biblioteca,biblioteca ahí ustedes estudiar
su amiga,amigo suya
ella es amable,ella amable
tu mamá es científica,mamá tuya científica
los zapatos son negros,zapatos negros
quiero morir,yo morir querer
los niños están alegres,niño ellos alegres
mi sobrina quiere descansar,sobrino mujer mía descansar querer
nosotros iremos al teatro mañana,mañana nosotros teatro ir
tu maestro,maestro tuyo
tu abuelo irá a la iglesia,futuro abuelo tuyo iglesia ir
hermanas,hermano mujer ellas
mi abuela es miedosa,abuelo mujer mía miedosa así
él está alegre,él alegre
tus gatos,gato cl+cl+cl tuyos
¿tu tío es oyente?,¿tío tuyo oyente?
tu tía es sordo,tío mujer tuya sorda
mi hermano quiere aprender cocinar,hermano mío cocinar aprender querer
a mi abuela le gusta el café,abuelo mujer mía café gustar
antier hizo calor,antier calor
mi hermana estudiará en la biblioteca mañana,mañana biblioteca ahí hermano mujer mía estudiar
les gusta comer helado,ellos comer helado gustar
la escuela de mi sobrina,sobrino mujer mía escuela suya
mi mamá es amable,mamá mía amable
mucha gente baila,gente mucha bailar
mi tía trabaja de lunes a viernes,lunes a viernes tío mujer mía trabajar
mis amigas,amigo mujer ellas mías
las niñas están bien,niño mujer ellas bien
tu primo es médico,primo tuyo médico
las niñas son tímidas,niño mujer ellas tímidas así
mi tía es científica,tío mujer mía científica
no le gusta caminar,ella caminar gustar no
mi tío entiende el español,tío mío español entender
"buenas tardes, ¿cómo están?","buenas tardes, ¿cómo estar ustedes?"
licuadora,licuadora
tu tía es miedosa,tío mujer tuya miedosa así
están ocupados,ellos (as) (ustedes) ocupados
la niña es gorda,niño mujer gorda
"hola, ¡gusto en conocerlos!",hola gustar conocer ustedes
ustedes son oyentes,ustedes oyentes
ir,ir
queremos comprar un auto,nosotros auto comprar querer
tú estudias inglés todos los días,todos los días tú inglés estudiar
tus sobrinos,sobrino ellos tuyos
mi hijo quiere comer,hijo mío comer querer
tu abuela está preocupada,abuelo mujer tuya preocupada
estamos ocupados,nosotros ocupados
los niños están preocupados,niño ellos preocupados
mi novia entiende el español,novio mujer mía español entender no
tu papá es sordo,papá tuyo sordo
mi papá es miedoso,papá miedoso así
él quiere correr en la pista,pista ahí él correr
¿qué estás haciendo ?,¿ahorita tú hacer qué?
mi gato está enfermo,gato mío enfermo
tú te amas a ti mismo,tú solito amar
