id,spa,mslg_real,mslg_pred,gloss_fol,raw_response
217,Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR,PIENSAR YO ESTUDIAR ODONTOLOGÍA+MUJER,PENSAR ESTUDIAR ODONTOLOGÍO+MUJER,PIENSAR YO ESTUDIAR ODONTOLOGÍA+MUJER
762,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO,ELLA TENER LUNAR BONITO,ÉL TENER LUNAR BONITO,ELLA TENER LUNAR BONITO
666,Yo gané el campeonato.,YO YA GANAR CAMPEONATO,YO CAMPEONATO GANAR,YO GANAR CAMPEONATO,YO CAMPEONATO GANAR
392,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA,MI NOVIO ARGENTINA NACER,MI NOVIO NACER ARGENTINA,MI NOVIO ARGENTINA NACER
387,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?,CÓMO APÓSTOL SEÑA HACER,CÓMO HACER SEÑO+MUJER APÓSTOL,CÓMO APÓSTOL SEÑA HACER
307,"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO,YA TRABAJO TENER YO CONTENTO,YA TENER TRABAJO CONTENTO,YA TRABAJO TENER YO CONTENTO
502,Mi hijo reprobó el sexto de primaria.,SEXTO-Primaria MI HIJO YA REPROBAR,MI HIJO SEXTO PRIMARIO REPROBAR,MI HIJO REPROBAR SEXTO PRIMARIO+MUJER,MI HIJO SEXTO PRIMARIO REPROBAR
215,Al parecer va a llover en la tarde.,LLOVER TARDE PARECE,AL-PARECIDO LLUVIA TARDERATO,PARECER IR LLOVER TARDE,AL-PARECIDO LLUVIA TARDERATO
316,"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD,ÉL ARRESTAR QUÉ FEO,ÉL ARRESTAR QUÉ FEO,ÉL ARRESTAR QUÉ FEO
372,Mi sobrino es muy alto.,MI SOBRINO ALTO,MI SOBRINO ALTO VERDAD,MI SOBRINO MUCHO ALTO,MI SOBRINO ALTO VERDAD
904,Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,PRÓXIMO VACACIÓN+MUJER YO IR VIAJE CIUDAD OBREGÓN,PRÓXIMO VACACIÓN+MUJER IR VIAJE CIUDAD OBREGÓN,PRÓXIMO VACACIÓN+MUJER YO IR VIAJE CIUDAD OBREGÓN
378,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,IGLESIA YO DECIR AMÉN,IGLESIA DECIR AMÉN,IGLESIA YO DECIR AMÉN
292,Anoche el metro era un caos.,AYER NOCHE METRO CAOS,ANOCHE METRO CAO,ANOCHE METRO CAO,ANOCHE METRO CAO
605,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,FÁBRICA-SABRITAS BUSCAR PERSONAL TRABAJAR NECESIDAD,FÁBRICO+MUJER SABRITAS BUSCAR PERSONAL TRABAJAR,FÁBRICA-SABRITAS BUSCAR PERSONAL TRABAJAR NECESIDAD
206,Yo nado en la alberca.,ALBERCA YO NADAR,ALBERCO+MUJER YO NADO,YO NADO ALBERCO+MUJER,ALBERCO+MUJER YO NADO
37,El maestro se reunió aparte con sus alumnos.,MAESTRO ALUMNOS REUNIÓN APARTE,SU ALUMNO MAESTRO REUNIR APARTES,MAESTRO REUNIR APARTE ALUMNO,SU ALUMNO MAESTRO REUNIR APARTES
125,Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA,MI AMIGO CONVENCER IR FIESTA,dm-CONVENCÍ MI AMIGO IR FIESTO+MUJER,MI AMIGO CONVENCER IR FIESTA
417,Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR,MI PUERTA COLOR AZUL PINTAR,PINTAR MI PUERTA COLOR AZUL,MI PUERTA COLOR AZUL PINTAR
406,Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO
785,"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,DIARIO YO MANEJO MI AUTO DEBER PONER GASOLINO+MUJER,dm-DIARIO MANEJO MI AUTO DEBER PONER ÉL GASOLINO+MUJER,DIARIO YO MANEJO MI AUTO DEBER PONER GASOLINO+MUJER
823,¡El café está muy caliente!,¡CAFÉ CALIENTE!,CAFÉ CALIENTE VERDAD,CAFÉ MUCHO CALIENTE,CAFÉ CALIENTE VERDAD
536,"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR,DICIEMBRE AÑO PASADO MI JEFE VIAJAR BOGOTÁ,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR
346,Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR,MI HIJO YO ABANDONAR,YO ABANDONAR MI HIJO,MI HIJO YO ABANDONAR
801,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR
638,Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO,TEPITO LUGAR CONOCIDO VERDAD,TEPITO LUGAR MUCHO CONOCIDO,TEPITO LUGAR CONOCIDO VERDAD
844,Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO,MAÑANA 10 METRO CHABACANO NOS-VEMOS,YO VER METRO CHABACANO 10 MAÑANA,MAÑANA 10 METRO CHABACANO NOS-VEMOS
463,Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ,HOY MI CUMPLEAÑOS,HOY MI CUMPLEAÑOS,HOY MI CUMPLEAÑOS
