id,mslg,spa_real,spa_pred,raw_response
379,ALGUNAS PERSONAS ANALFABETO,Algunas personas son analfabetas.,Algunas personas son analfabetas.,Algunas personas son analfabetas.
703,ÁFRICA ADENTRO GHANA,Ghana está en África.,Ghana está en África.,Ghana está en África.
136,TIENDA CERCA DOS CUADRAS,La tienda más cercana está a dos cuadras.,La tienda está a dos cuadras de aquí.,La tienda está a dos cuadras de aquí.
358,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,Adán es el primer hombre creado por Dios en el mundo.,Adán fue el primer hombre del mundo que Dios creó.,Adán fue el primer hombre del mundo que Dios creó.
918,YO VIAJE FRANCIA YO EMOCIONAR YA,Mi viaje a Francia me emocionó.,Ya me emocioné con mi viaje a Francia.,Ya me emocioné con mi viaje a Francia.
138,MÉXICO BIBLIOTECA GRANDE,La Biblioteca de México es muy grande.,La biblioteca de México es grande.,La biblioteca de México es grande.
365,JUGUETE MI AHIJADO YO REGALAR ÉL YA,Le regalé un juguete a mi ahijado.,Ya le regalé un juguete a mi ahijado.,Ya le regalé un juguete a mi ahijado.
822,SU #SEP CALENDARIO AGOSTO TERMINAR,El calendario de la SEP termina en agosto.,El calendario de la SEP termina en agosto.,El calendario de la SEP termina en agosto.
624,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,El senador explica por qué la gasolina está cara.,El senador explica por qué aumentó la gasolina.,El senador explica por qué aumentó la gasolina.
326,dm-AIMÉ SALTAR PARACAIDAS,Aimé saltó en paracaídas.,Aimé se lanza en paracaídas.,Aimé se lanza en paracaídas.
472,FÁCIL APRENDER LETRA ABECEDARIO,Es fácil aprender las letras del abecedario.,Es fácil aprender las letras del abecedario.,Es fácil aprender las letras del abecedario.
761,NUESTRA CITA LUGAR TAXQUEÑA,Nuestra cita es en Taxqueña.,Nuestra cita es en un lugar taxqueño.,Nuestra cita es en un lugar taxqueño.
567,POLVO YO MUCHO ESTORNUDAR,"Con mucho polvo, yo estornudo mucho.",El polvo me hace estornudar mucho.,El polvo me hace estornudar mucho.
213,DISFRAZ HACER. PAPEL,El disfraz está hecho de papel,Hacemos disfraces. El papel.,Hacemos disfraces. El papel.
363,DIARIO MI HERMANO AGENDA REVISAR,Mi hermano revisa su agenda diario.,Mi hermano revisa su agenda diariamente.,Mi hermano revisa su agenda diariamente.
668,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI Mí familia y yo fuimos a Celaya.,Mi familia y yo ya fuimos a Celaya.,Mi familia y yo ya fuimos a Celaya.
652,AMETRALLADORA DIFERENTE YO NO-GUSTAR,A mí no me gustan las ametralladoras.,No me gustan las diferentes ametralladoras.,No me gustan las diferentes ametralladoras.
479,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,Me mandas un mensaje de whatsapp en la noche.,Anoche me mandaste un mensaje por WhatsApp.,Anoche me mandaste un mensaje por WhatsApp.
280,SÍ YO GUSTAR JUGAR BOLICHE,A mí sí me gusta jugar boliche.,"Sí, me gusta jugar boliche.","Sí, me gusta jugar boliche."
857,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,Juan Gabriel nació en Ciudad Juárez.,Juan Gabriel nació en Ciudad Juárez.,Juan Gabriel nació en Ciudad Juárez.
811,CASA AZOTEAarriba YO LIMPIAR YA,Yo limpié la azotea de la casa.,Ya limpié la azotea de la casa.,Ya limpié la azotea de la casa.
696,AYER YO YA IR GALERÍA,Ayer fui a la galería.,Ayer ya fui a la galería.,Ayer ya fui a la galería.
916,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,Mi familia siempre dona a Teletón.,Mi familia siempre dona mucho a Teletón.,Mi familia siempre dona mucho a Teletón.
239,YO NECESITAR PAPEL PARA AGUA ABSORBER,Necesito papel para absorber el agua.,Necesito papel para absorber el agua.,Necesito papel para absorber el agua.
369,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,Mi vecino va diario a Alcohólicos Anónimos.,Mi vecino va a Alcohólicos Anónimos todos los días.,Mi vecino va a Alcohólicos Anónimos todos los días.
507,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,Mi hermano terminó con su novia.,Mi hermano ya se separó de su novia.,Mi hermano ya se separó de su novia.
312,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,Compré este celular ayer pero está muy corriente.,Ayer compré este celular pero no funciona bien.,Ayer compré este celular pero no funciona bien.
133,FRESAS CON CREMA YO GUSTAR,Me gustan las fresas con crema.,Me gustan las fresas con crema.,Me gustan las fresas con crema.
719,AÑO-PASADO YO VIAJAR GUANAJUATO,El año pasado viajé a Guanajuato.,El año pasado viajé a Guanajuato.,El año pasado viajé a Guanajuato.
924,MI PRIMO UNIVERSIDAD YA INGRESAR,Mi primo ingresó a la universidad.,Mi primo ya ingresó a la universidad.,Mi primo ya ingresó a la universidad.
782,MUCHOS POLICÍA HABER MANIFESTACIÓN,Hay muchos policías en la manifestación.,Hay muchos policías en la manifestación.,Hay muchos policías en la manifestación.
906,REFRIGERADOR HABER COMIDA CADUCADA,En el refrigerador hay comida caducada.,En el refrigerador hay comida caducada.,En el refrigerador hay comida caducada.
3,¿Y-ESO?,¿Y eso?,¿Y eso?,¿Y eso?
466,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,La India es el séptimo país más grande del mundo.,India es el séptimo país más grande del mundo.,India es el séptimo país más grande del mundo.
597,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,El gobernador colocó mucha publicidad por las calles.,El gobernador coloca publicidad en las calles.,El gobernador coloca publicidad en las calles.
217,ODONTOLOGÍA YO PENSAR ESTUDIAR,Pienso estudiar odontología.,Estoy pensando en estudiar odontología.,Estoy pensando en estudiar odontología.
762,ELLA TENER LUNAR BONITO,Ella tiene una lunar bonito.,Ella tiene un lunar bonito.,Ella tiene un lunar bonito.
666,YO YA GANAR CAMPEONATO,Yo gané el campeonato.,Yo ya gané el campeonato.,Yo ya gané el campeonato.
392,MI NOVIO NACER LUGAR ARGENTINA,Mi novio nació en Argentina.,Mi novio nació en Argentina.,Mi novio nació en Argentina.
387,¿CÓMO SEÑA dm-APÓSTOLES?,¿Cómo haces la seña de apóstoles?,¿Cómo se señan los apóstoles?,¿Cómo se señan los apóstoles?
307,YO TENER TRABAJO YA CONTENTO YO,"Ya tengo trabajo, estoy contento.",Yo ya tengo trabajo y estoy contento.,Yo ya tengo trabajo y estoy contento.
502,SEXTO-Primaria MI HIJO YA REPROBAR,Mi hijo reprobó el sexto de primaria.,Mi hijo ya reprobó sexto de primaria.,Mi hijo ya reprobó sexto de primaria.
215,LLOVER TARDE PARECE,Al parecer va a llover en la tarde.,Parece que lloverá por la tarde.,Parece que lloverá por la tarde.
316,YA ÉL ARRESTADO ESO FEO VERDAD,"Él fue arrestado, qué feo.","Ya lo arrestaron, eso es muy feo verdad.","Ya lo arrestaron, eso es muy feo verdad."
372,MI SOBRINO ALTO,Mi sobrino es muy alto.,Mi sobrino es alto.,Mi sobrino es alto.
904,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,Las próximas vacaciones iré de viaje a Ciudad Obregón.,El próximo período de vacaciones viajaré a Ciudad Obregón.,El próximo período de vacaciones viajaré a Ciudad Obregón.
378,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,En la iglesia decimos amén.,En la iglesia nosotros dos decimos amén.,En la iglesia nosotros dos decimos amén.
292,AYER NOCHE METRO CAOS,Anoche el metro era un caos.,Ayer por la noche el metro estaba en caos.,Ayer por la noche el metro estaba en caos.
605,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,En la fábrica de Sabritas buscan personal para trabajar.,En la fábrica de Sabritas hay trabajo para las personas.,En la fábrica de Sabritas hay trabajo para las personas.
206,ALBERCA YO NADAR,Yo nado en la alberca.,Nado en la alberca.,Nado en la alberca.
37,MAESTRO ALUMNOS REUNIÓN APARTE,El maestro se reunió aparte con sus alumnos.,El maestro se reúne aparte con los alumnos.,El maestro se reúne aparte con los alumnos.
125,YO YA CONVENCER MI AMIGO IR FIESTA,Convencí a mi amigo de ir a la fiesta.,Ya convencí a mi amigo para que fuera a la fiesta.,Ya convencí a mi amigo para que fuera a la fiesta.
417,MI PUERTA COLOR AZUL YO YA PINTAR,Pinté mi puerta de color azul.,Ya pinté mi puerta de color azul.,Ya pinté mi puerta de color azul.
406,AUSTRÍA SU PAÍS HERMOSO,Austria es un país hermoso.,Austria es un país hermoso.,Austria es un país hermoso.
785,DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,"Diario manejo mi auto, debo ponerle gasolina.",Diariamente manejo el carro y debo ponerle gasolina.,Diariamente manejo el carro y debo ponerle gasolina.
823,¡CAFÉ CALIENTE!,¡El café está muy caliente!,¡Café caliente!,¡Café caliente!
536,AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,"En diciembre del año pasado, mi jefe viajó a Bogotá.",El año pasado en diciembre mi jefe viajó a Bogotá.,El año pasado en diciembre mi jefe viajó a Bogotá.
346,MI HIJO YO ABANDONAR,Yo abandoné a mi hijo.,Abandoné a mi hijo.,Abandoné a mi hijo.
801,ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",Él desea conquistar a esa mujer pero tiene miedo de que ella lo abandone.,Él desea conquistar a esa mujer pero tiene miedo de que ella lo abandone.
638,TEPITO LUGAR FAMOSO,Tepito es un lugar muy conocido.,Tepito es un lugar famoso.,Tepito es un lugar famoso.
844,10 MAÑANA NOS-VEMOS METRO CHABACANO,Nos vemos en el metro chabacano a las 10 de la mañana,Nos vemos mañana a las 10 en el metro Chabacano.,Nos vemos mañana a las 10 en el metro Chabacano.
463,HOY CUMPLEAÑOS MÍ,Hoy es mi cumpleaños.,Hoy es mi cumpleaños.,Hoy es mi cumpleaños.
